year,type,cost
1973,1,9660
1974,1,9062
1975,1,8976
1976,1,9175
1977,1,9110
1978,1,8937
1979,1,8563
1980,1,8473
1981,1,8776
1982,1,9348
1983,1,9690
1984,1,10210
1985,1,10624
1986,1,11077
1987,1,11226
1988,1,11461
1989,1,11570
1990,1,11597
1991,1,12119
1992,1,12376
1993,1,12838
1994,1,13069
1995,1,13481
1996,1,13711
1997,1,14029
1998,1,14493
1999,1,14582
2000,1,14625
2001,1,15115
2002,1,15613
2003,1,16475
2004,1,17030
2005,1,17405
2006,1,17951
2007,1,18146
2008,1,18845
2009,1,19274
2010,1,19778
2011,1,20178
2012,1,20699
2013,1,21148
2014,1,21728
1963,2,7002
1964,2,7060
1965,2,7179
1966,2,7295
1967,2,7346
1968,2,7376
1969,2,7497
1970,2,7603
1971,2,7747
1972,2,8030
1973,2,7690
1974,2,7134
1975,2,7097
1976,2,7214
1977,2,7133
1978,2,6888
1979,2,6600
1980,2,6484
1981,2,6697
1982,2,7101
1983,2,7339
1984,2,7626
1985,2,7768
1986,2,8096
1987,2,8274
1988,2,8347
1989,2,8395
1990,2,8407
1991,2,8799
1992,2,8932
1993,2,9217
1994,2,9386
1995,2,9583
1996,2,9725
1997,2,9970
1998,2,10222
1999,2,10217
2000,2,10254
2001,2,10654
2002,2,11049
2003,2,11760
2004,2,12179
2005,2,12434
2006,2,12810
2007,2,12938
2008,2,13513
2009,2,13999
2010,2,14522
2011,2,14934
2012,2,15367
2013,2,15743
2014,2,16188
1963,3,13928
1964,3,14451
1965,3,14872
1966,3,15272
1967,3,15346
1968,3,15402
1969,3,15836
1970,3,16259
1971,3,16693
1972,3,16786
1973,3,16052
1974,3,15483
1975,3,15552
1976,3,15751
1977,3,15713
1978,3,15597
1979,3,14976
1980,3,14945
1981,3,15506
1982,3,16687
1983,3,17459
1984,3,18354
1985,3,19324
1986,3,20589
1987,3,21476
1988,3,21852
1989,3,22402
1990,3,22816
1991,3,23790
1992,3,24301
1993,3,25082
1994,3,25502
1995,3,26361
1996,3,26867
1997,3,27095
1998,3,27859
1999,3,28259
2000,3,28891
2001,3,29770
2002,3,30334
2003,3,31317
2004,3,31875
2005,3,32004
2006,3,32972
2007,3,33279
2008,3,33964
2009,3,34225
2010,3,34123
2011,3,34382
2012,3,35277
2013,3,36247
2014,3,37424
1999,4,29344
2000,4,29649
2001,4,30655
2002,4,31551
2003,4,32667
2004,4,33439
2005,4,33921
2006,4,34973
2007,4,35687
2008,4,37134
2009,4,38133
2010,4,38863
2011,4,39215
2012,4,40072
2013,4,40908
2014,4,41970
1999,5,22542
2000,5,23909
2001,5,24673
2002,5,25595
2003,5,27753
2004,5,28519
2005,5,28019
2006,5,27832
2007,5,27665
2008,5,26817
2009,5,26338
2010,5,24602
2011,5,23892
2012,5,23699
2013,5,23303
2014,5,23372
